"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Seltene","Seltene","","","",0,*,"","","","null {[]} {[]}
","MII LM SE","MII LogicalModel Modul Seltene Erkraknungen","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Koerpergewicht","Seltene.KoerperlicheUntersuchung.Koerpergewicht","","","",0,*,"","","","BackboneElement {[]} {[]}
","Körpergewicht","Körpergewicht","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergewicht",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Koerpergewicht.id","Seltene.KoerperlicheUntersuchung.Koerpergewicht.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Koerpergewicht.extension","Seltene.KoerperlicheUntersuchung.Koerpergewicht.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Koerpergewicht.modifierExtension","Seltene.KoerperlicheUntersuchung.Koerpergewicht.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Koerpergewicht.Koerpergewicht","Seltene.KoerperlicheUntersuchung.Koerpergewicht.Koerpergewicht","","","",0,1,"","","","decimal {[]} {[]}
","Körpergewicht in kg","Körpergewicht des SE-Patienten in kg (aus MII ICU Modul).","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergewicht.Koerpergewicht",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Koerpergewicht.DatumKoerpergewicht","Seltene.KoerperlicheUntersuchung.Koerpergewicht.DatumKoerpergewicht","","","",0,1,"","","","dateTime {[]} {[]}
","Datum Körpergewicht","Datum der Körpergewichtsmessung.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergewicht.DatumKoerpergewicht",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Koerpergroesse","Seltene.KoerperlicheUntersuchung.Koerpergroesse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Körpergröße","Körpergröße","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergroesse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Koerpergroesse.id","Seltene.KoerperlicheUntersuchung.Koerpergroesse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Koerpergroesse.extension","Seltene.KoerperlicheUntersuchung.Koerpergroesse.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Koerpergroesse.modifierExtension","Seltene.KoerperlicheUntersuchung.Koerpergroesse.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Koerpergroesse.Koerpergroesse","Seltene.KoerperlicheUntersuchung.Koerpergroesse.Koerpergroesse","","","",0,1,"","","","decimal {[]} {[]}
","Körpergröße in cm","Körpergröße des SE-Patienten in cm (aus MII ICU Modul).","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergroesse.Koerpergroesse",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Koerpergroesse.DatumKoerpergroesse","Seltene.KoerperlicheUntersuchung.Koerpergroesse.DatumKoerpergroesse","","","",0,1,"","","","dateTime {[]} {[]}
","Datum Körpergröße","Datum der Körpergrößenmessung.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Koerpergroesse.DatumKoerpergroesse",0,1,"",""
"Seltene.KoerperlicheUntersuchung.BMI","Seltene.KoerperlicheUntersuchung.BMI","","","",0,*,"","","","BackboneElement {[]} {[]}
","BMI","BMI","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.BMI",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.BMI.id","Seltene.KoerperlicheUntersuchung.BMI.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.BMI.extension","Seltene.KoerperlicheUntersuchung.BMI.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.BMI.modifierExtension","Seltene.KoerperlicheUntersuchung.BMI.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.BMI.BMI","Seltene.KoerperlicheUntersuchung.BMI.BMI","","","",0,1,"","","","decimal {[]} {[]}
","BMI SE-Patient","BMI des SE-Patienten.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.BMI.BMI",0,1,"",""
"Seltene.KoerperlicheUntersuchung.BMI.DatumBMI","Seltene.KoerperlicheUntersuchung.BMI.DatumBMI","","","",0,1,"","","","dateTime {[]} {[]}
","Datum des BMI","Datum, an dem der BMI (Body Mass Index) berechnet wurde.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.BMI.DatumBMI",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Kopfumfang","Seltene.KoerperlicheUntersuchung.Kopfumfang","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kopfumfang","Kopfumfang","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Kopfumfang",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Kopfumfang.id","Seltene.KoerperlicheUntersuchung.Kopfumfang.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Kopfumfang.extension","Seltene.KoerperlicheUntersuchung.Kopfumfang.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Kopfumfang.modifierExtension","Seltene.KoerperlicheUntersuchung.Kopfumfang.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Kopfumfang.Kopfumfang","Seltene.KoerperlicheUntersuchung.Kopfumfang.Kopfumfang","","","",0,1,"","","","decimal {[]} {[]}
","Kopfumfang in cm","Kopfumfang des SE-Patienten in cm.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Kopfumfang.Kopfumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Kopfumfang.DatumKopfumfang","Seltene.KoerperlicheUntersuchung.Kopfumfang.DatumKopfumfang","","","",0,1,"","","","dateTime {[]} {[]}
","Datum Kopfumfang","Datum der Kopfumfangsmessung.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Kopfumfang.DatumKopfumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Bauchumfang","Seltene.KoerperlicheUntersuchung.Bauchumfang","","","",0,*,"","","","BackboneElement {[]} {[]}
","Bauchumfang","Bauchumfang","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Bauchumfang",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Bauchumfang.id","Seltene.KoerperlicheUntersuchung.Bauchumfang.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Bauchumfang.extension","Seltene.KoerperlicheUntersuchung.Bauchumfang.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Bauchumfang.modifierExtension","Seltene.KoerperlicheUntersuchung.Bauchumfang.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Bauchumfang.Bauchumfang","Seltene.KoerperlicheUntersuchung.Bauchumfang.Bauchumfang","","","",0,1,"","","","decimal {[]} {[]}
","Bauchumfang in cm","Bauchumfang des SE-Patienten in cm.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Bauchumfang.Bauchumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Bauchumfang.DatumBauchumfang","Seltene.KoerperlicheUntersuchung.Bauchumfang.DatumBauchumfang","","","",0,1,"","","","dateTime {[]} {[]}
","Datum Bauchumfang","Datum der Bauchumfangsmessung.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Bauchumfang.DatumBauchumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Hueftumfang","Seltene.KoerperlicheUntersuchung.Hueftumfang","","","",0,*,"","","","BackboneElement {[]} {[]}
","Hüftumfang","Hüftumfang","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Hueftumfang",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.Hueftumfang.id","Seltene.KoerperlicheUntersuchung.Hueftumfang.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Hueftumfang.extension","Seltene.KoerperlicheUntersuchung.Hueftumfang.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Hueftumfang.modifierExtension","Seltene.KoerperlicheUntersuchung.Hueftumfang.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.Hueftumfang.Hueftumfang","Seltene.KoerperlicheUntersuchung.Hueftumfang.Hueftumfang","","","",0,1,"","","","decimal {[]} {[]}
","Hüftumfang in cm","Hüftumfang des SE-Patienten in cm.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Hueftumfang.Hueftumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Hueftumfang.DatumHueftumfang","Seltene.KoerperlicheUntersuchung.Hueftumfang.DatumHueftumfang","","","",0,1,"","","","dateTime {[]} {[]}
","Datum Hüftumfang","Datum der Hüftumfangsmessung.","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Hueftumfang.DatumHueftumfang",0,1,"",""
"Seltene.KoerperlicheUntersuchung.Blutgruppe","Seltene.KoerperlicheUntersuchung.Blutgruppe","","","",0,1,"","","","code {[]} {[]}
","Blutgruppe","Blutgruppe des SE-Patienten (AB0 und Rhesusfaktor).","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung.Blutgruppe",0,1,"",""
"Seltene.PersoenlicheInfosIndexpatient","Seltene.PersoenlicheInfosIndexpatient","","","",0,*,"","","","BackboneElement {[]} {[]}
","Persoenliche Informationen des Indexpatienten","Persoenliche Informationen des Indexpatienten","","","","","","","","","",,,,,"",,,,"Seltene.PersoenlicheInfosIndexpatient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.PersoenlicheInfosIndexpatient.id","Seltene.PersoenlicheInfosIndexpatient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.PersoenlicheInfosIndexpatient.extension","Seltene.PersoenlicheInfosIndexpatient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.PersoenlicheInfosIndexpatient.modifierExtension","Seltene.PersoenlicheInfosIndexpatient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.PersoenlicheInfosIndexpatient.Tod","Seltene.PersoenlicheInfosIndexpatient.Tod","","","",0,1,"","","","BackboneElement {[]} {[]}
","Tod","Tod","","","","","","","","","",,,,,"",,,,"Seltene.PersoenlicheInfosIndexpatient.Tod",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.PersoenlicheInfosIndexpatient.Tod.id","Seltene.PersoenlicheInfosIndexpatient.Tod.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.PersoenlicheInfosIndexpatient.Tod.extension","Seltene.PersoenlicheInfosIndexpatient.Tod.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
